"Date","Video Views","Profile Views","Likes","Comments","Shares"
"June 12","0","0","0","0","0"
"June 13","0","0","0","0","0"
"June 14","0","0","0","0","0"
"June 15","0","0","0","0","0"
"June 16","0","0","0","0","0"
"June 17","0","0","0","0","0"
"June 18","0","0","0","0","0"
"June 19","0","0","0","0","0"
"June 20","0","0","0","0","0"
"June 21","0","0","0","0","0"
"June 22","0","0","0","0","0"
"June 23","0","0","0","0","0"
"June 24","0","0","0","0","0"
"June 25","0","0","0","0","0"
"June 26","0","0","0","0","0"
"June 27","0","0","0","0","0"
"June 28","0","0","0","0","0"
"June 29","0","0","0","0","0"
"June 30","0","0","0","0","0"
"July 1","0","0","0","0","0"
"July 2","0","0","0","0","0"
"July 3","0","0","0","0","0"
"July 4","0","0","0","0","0"
"July 5","0","0","0","0","0"
"July 6","0","0","0","0","0"
"July 7","0","0","0","0","0"
"July 8","0","0","0","0","0"
"July 9","0","0","0","0","0"
"July 10","0","0","0","0","0"
"July 11","0","0","0","0","0"
"July 12","0","0","0","0","0"
"July 13","0","0","0","0","0"
"July 14","0","0","0","0","0"
"July 15","0","0","0","0","0"
"July 16","0","0","0","0","0"
"July 17","0","0","0","0","0"
"July 18","0","0","0","0","0"
"July 19","0","0","0","0","0"
"July 20","0","0","0","0","0"
"July 21","0","0","0","0","0"
"July 22","0","0","0","0","0"
"July 23","0","0","0","0","0"
"July 24","0","0","0","0","0"
"July 25","0","0","0","0","0"
"July 26","0","0","0","0","0"
"July 27","0","0","0","0","0"
"July 28","0","0","0","0","0"
"July 29","0","0","0","0","0"
"July 30","0","0","0","0","0"
"July 31","0","0","0","0","0"
"August 1","0","0","0","0","0"
"August 2","0","0","0","0","0"
"August 3","0","0","0","0","0"
"August 4","0","0","0","0","0"
"August 5","0","0","0","0","0"
"August 6","0","0","0","0","0"
"August 7","0","0","0","0","0"
"August 8","0","0","0","0","0"
"August 9","0","0","0","0","0"
"August 10","0","0","0","0","0"
"August 11","0","0","0","0","0"
"August 12","0","0","0","0","0"
"August 13","0","0","0","0","0"
"August 14","0","0","0","0","0"
"August 15","0","0","0","0","0"
"August 16","0","0","0","0","0"
"August 17","0","0","0","0","0"
"August 18","0","0","0","0","0"
"August 19","0","0","0","0","0"
"August 20","0","0","0","0","0"
"August 21","0","0","0","0","0"
"August 22","0","0","0","0","0"
"August 23","0","0","0","0","0"
"August 24","0","0","0","0","0"
"August 25","0","0","0","0","0"
"August 26","0","0","0","0","0"
"August 27","0","0","0","0","0"
"August 28","0","0","0","0","0"
"August 29","0","0","0","0","0"
"August 30","0","0","0","0","0"
"August 31","0","0","0","0","0"
"September 1","0","0","0","0","0"
"September 2","0","0","0","0","0"
"September 3","0","0","0","0","0"
"September 4","0","0","0","0","0"
"September 5","0","0","0","0","0"
"September 6","0","0","0","0","0"
"September 7","0","0","0","0","0"
"September 8","0","0","0","0","0"
"September 9","0","0","0","0","0"
"September 10","0","0","0","0","0"
"September 11","0","0","0","0","0"
"September 12","0","0","0","0","0"
"September 13","0","0","0","0","0"
"September 14","0","0","0","0","0"
"September 15","0","0","0","0","0"
"September 16","0","0","0","0","0"
"September 17","0","0","0","0","0"
"September 18","0","0","0","0","0"
"September 19","0","0","0","0","0"
"September 20","0","0","0","0","0"
"September 21","0","0","0","0","0"
"September 22","0","0","0","0","0"
"September 23","0","0","0","0","0"
"September 24","0","0","0","0","0"
"September 25","0","0","0","0","0"
"September 26","0","0","0","0","0"
"September 27","0","0","0","0","0"
"September 28","0","0","0","0","0"
"September 29","0","0","0","0","0"
"September 30","0","0","0","0","0"
"October 1","0","0","0","0","0"
"October 2","0","0","0","0","0"
"October 3","0","0","0","0","0"
"October 4","0","0","0","0","0"
"October 5","0","0","0","0","0"
"October 6","0","0","0","0","0"
"October 7","0","0","0","0","0"
"October 8","0","0","0","0","0"
"October 9","0","0","0","0","0"
"October 10","0","0","0","0","0"
"October 11","0","0","0","0","0"
"October 12","0","0","0","0","0"
"October 13","0","0","0","0","0"
"October 14","0","0","0","0","0"
"October 15","0","0","0","0","0"
"October 16","0","0","0","0","0"
"October 17","0","0","0","0","0"
"October 18","0","0","0","0","0"
"October 19","0","0","0","0","0"
"October 20","0","0","0","0","0"
"October 21","0","0","0","0","0"
"October 22","0","0","0","0","0"
"October 23","0","0","0","0","0"
"October 24","0","0","0","0","0"
"October 25","0","0","0","0","0"
"October 26","0","0","0","0","0"
"October 27","0","0","0","0","0"
"October 28","0","0","0","0","0"
"October 29","0","0","0","0","0"
"October 30","0","0","0","0","0"
"October 31","0","0","0","0","0"
"November 1","0","0","0","0","0"
"November 2","0","0","0","0","0"
"November 3","0","0","0","0","0"
"November 4","0","0","0","0","0"
"November 5","0","0","0","0","0"
"November 6","0","0","0","0","0"
"November 7","0","0","0","0","0"
"November 8","0","0","0","0","0"
"November 9","0","0","0","0","0"
"November 10","0","0","0","0","0"
"November 11","0","0","0","0","0"
"November 12","0","0","0","0","0"
"November 13","0","0","0","0","0"
"November 14","0","0","0","0","0"
"November 15","0","0","0","0","0"
"November 16","0","0","0","0","0"
"November 17","0","0","0","0","0"
"November 18","0","0","0","0","0"
"November 19","0","0","0","0","0"
"November 20","0","0","0","0","0"
"November 21","0","0","0","0","0"
"November 22","0","0","0","0","0"
"November 23","0","0","0","0","0"
"November 24","0","0","0","0","0"
"November 25","0","0","0","0","0"
"November 26","0","0","0","0","0"
"November 27","0","0","0","0","0"
"November 28","0","0","0","0","0"
"November 29","0","0","0","0","0"
"November 30","0","0","0","0","0"
"December 1","0","0","0","0","0"
"December 2","0","0","0","0","0"
"December 3","0","0","0","0","0"
"December 4","0","0","0","0","0"
"December 5","0","0","0","0","0"
"December 6","0","0","0","0","0"
"December 7","0","0","0","0","0"
"December 8","0","0","0","0","0"
"December 9","0","0","0","0","0"
"December 10","0","0","0","0","0"
"December 11","0","0","0","0","0"
"December 12","0","0","0","0","0"
"December 13","0","0","0","0","0"
"December 14","0","0","0","0","0"
"December 15","0","0","0","0","0"
"December 16","0","0","0","0","0"
"December 17","0","0","0","0","0"
"December 18","0","0","0","0","0"
"December 19","0","0","0","0","0"
"December 20","0","0","0","0","0"
"December 21","0","0","0","0","0"
"December 22","0","0","0","0","0"
"December 23","0","0","0","0","0"
"December 24","0","0","0","0","0"
"December 25","0","0","0","0","0"
"December 26","0","0","0","0","0"
"December 27","0","0","0","0","0"
"December 28","0","0","0","0","0"
"December 29","0","0","0","0","0"
"December 30","0","0","0","0","0"
"December 31","0","0","0","0","0"
"January 1","0","0","0","0","0"
"January 2","0","0","0","0","0"
"January 3","0","0","0","0","0"
"January 4","0","0","0","0","0"
"January 5","0","0","0","0","0"
"January 6","0","0","0","0","0"
"January 7","0","0","0","0","0"
"January 8","0","0","0","0","0"
"January 9","0","0","0","0","0"
"January 10","0","0","0","0","0"
"January 11","0","0","0","0","0"
"January 12","0","0","0","0","0"
"January 13","0","0","0","0","0"
"January 14","0","0","0","0","0"
"January 15","0","0","0","0","0"
"January 16","0","0","0","0","0"
"January 17","0","0","0","0","0"
"January 18","0","0","0","0","0"
"January 19","0","0","0","0","0"
"January 20","0","0","0","0","0"
"January 21","0","0","0","0","0"
"January 22","0","0","0","0","0"
"January 23","0","0","0","0","0"
"January 24","0","0","0","0","0"
"January 25","0","0","0","0","0"
"January 26","0","0","0","0","0"
"January 27","0","0","0","0","0"
"January 28","0","0","0","0","0"
"January 29","0","0","0","0","0"
"January 30","0","0","0","0","0"
"January 31","0","0","0","0","0"
"February 1","0","0","0","0","0"
"February 2","0","0","0","0","0"
"February 3","0","0","0","0","0"
"February 4","0","0","0","0","0"
"February 5","0","0","0","0","0"
"February 6","0","0","0","0","0"
"February 7","0","0","0","0","0"
"February 8","0","0","0","0","0"
"February 9","0","0","0","0","0"
"February 10","0","0","0","0","0"
"February 11","0","0","0","0","0"
"February 12","0","0","0","0","0"
"February 13","0","0","0","0","0"
"February 14","0","0","0","0","0"
"February 15","0","0","0","0","0"
"February 16","0","0","0","0","0"
"February 17","0","0","0","0","0"
"February 18","0","0","0","0","0"
"February 19","0","0","0","0","0"
"February 20","0","0","0","0","0"
"February 21","0","0","0","0","0"
"February 22","0","0","0","0","0"
"February 23","0","0","0","0","0"
"February 24","0","0","0","0","0"
"February 25","0","0","0","0","0"
"February 26","0","0","0","0","0"
"February 27","0","0","0","0","0"
"February 28","0","0","0","0","0"
"March 1","0","0","0","0","0"
"March 2","0","0","0","0","0"
"March 3","0","0","0","0","0"
"March 4","0","0","0","0","0"
"March 5","0","0","0","0","0"
"March 6","0","0","0","0","0"
"March 7","0","0","0","0","0"
"March 8","0","0","0","0","0"
"March 9","0","0","0","0","0"
"March 10","0","0","0","0","0"
"March 11","0","0","0","0","0"
"March 12","0","0","0","0","0"
"March 13","0","0","0","0","0"
"March 14","0","0","0","0","0"
"March 15","0","0","0","0","0"
"March 16","0","0","0","0","0"
"March 17","0","0","0","0","0"
"March 18","0","0","0","0","0"
"March 19","0","0","0","0","0"
"March 20","0","0","0","0","0"
"March 21","0","0","0","0","0"
"March 22","0","0","0","0","0"
"March 23","0","0","0","0","0"
"March 24","0","0","0","0","0"
"March 25","0","0","0","0","0"
"March 26","0","0","0","0","0"
"March 27","0","0","0","0","0"
"March 28","0","0","0","0","0"
"March 29","0","0","0","0","0"
"March 30","0","0","0","0","0"
"March 31","0","0","0","0","0"
"April 1","0","0","0","0","0"
"April 2","0","0","0","0","0"
"April 3","0","0","0","0","0"
"April 4","0","0","0","0","0"
"April 5","0","0","0","0","0"
"April 6","108","2","1","0","0"
"April 7","148","2","3","0","1"
"April 8","90","0","1","0","1"
"April 9","159","1","1","0","0"
"April 10","187","3","5","0","0"
"April 11","202","2","9","0","0"
"April 12","360","6","10","0","1"
"April 13","225","1","4","0","0"
"April 14","96","3","4","1","1"
"April 15","408","22","16","1","0"
"April 16","451","5","16","5","2"
"April 17","177","2","9","0","0"
"April 18","442","2","14","1","1"
"April 19","208","6","5","1","0"
"April 20","338","6","20","0","0"
"April 21","95","0","0","0","0"
"April 22","328","4","12","1","1"
"April 23","418","4","23","2","1"
"April 24","432","3","16","2","1"
"April 25","500","2","16","0","2"
"April 26","821","7","46","0","5"
"April 27","2406","18","69","1","22"
"April 28","10990","34","196","2","35"
"April 29","1885","17","53","3","7"
"April 30","562","4","21","1","0"
"May 1","906","3","29","0","2"
"May 2","844","5","15","0","5"
"May 3","1367","7","38","2","1"
"May 4","2281","17","51","2","5"
"May 5","1337","6","31","2","1"
"May 6","9136","22","321","0","15"
"May 7","37994","65","1690","6","150"
"May 8","92549","272","4231","7","419"
"May 9","84574","201","4148","16","486"
"May 10","34484","84","1453","1","270"
"May 11","21060","55","953","0","130"
"May 12","23506","54","1081","2","123"
"May 13","38493","75","1650","8","218"
"May 14","23865","68","1016","1","180"
"May 15","16080","50","720","0","119"
"May 16","12787","24","527","2","80"
"May 17","20492","40","704","1","94"
"May 18","12699","40","402","2","61"
"May 19","13478","37","535","0","63"
"May 20","15081","49","572","1","100"
"May 21","10596","20","438","0","68"
"May 22","14004","30","509","7","68"
"May 23","50845","86","1626","2","220"
"May 24","15398","38","513","3","77"
"May 25","8791","21","292","3","44"
"May 26","7387","28","218","2","35"
"May 27","15296","42","561","4","87"
"May 28","12499","34","504","7","90"
"May 29","9697","24","316","2","79"
"May 30","15295","36","504","4","62"
"May 31","21107","53","786","8","144"
"June 1","14275","32","502","3","97"
"June 2","18363","49","817","1","132"
"June 3","23618","96","900","0","176"
"June 4","23623","63","1057","1","157"
"June 5","16679","48","633","3","110"
"June 6","12907","50","462","0","108"
"June 7","13324","39","478","0","104"
"June 8","9679","30","323","1","60"
"June 9","11083","36","325","3","70"
"June 10","12336","34","480","1","92"
"June 11","14679","38","530","1","101"